WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://162.15.15.108:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 381-786-089
127.0.0.1 - - [26/Jun/2026 14:51:31] "GET /api/v1/health HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:52:38] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [26/Jun/2026 14:52:38] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [26/Jun/2026 14:53:02] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [26/Jun/2026 14:53:02] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [26/Jun/2026 14:53:56] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [26/Jun/2026 14:55:22] "OPTIONS /api/v1/auth/signup HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:23] "POST /api/v1/auth/signup HTTP/1.1" 201 -
127.0.0.1 - - [26/Jun/2026 14:55:23] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:24] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:24] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:24] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:31] "OPTIONS /api/v1/vendor/bids HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:31] "OPTIONS /api/v1/vendor/bids HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:31] "GET /api/v1/vendor/bids HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:32] "GET /api/v1/vendor/bids HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:33] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:33] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:33] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:34] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:49] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:50] "POST /api/v1/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:50] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:50] "OPTIONS /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:50] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:55:51] "GET /api/v1/vendor/marketplace HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:56:16] "OPTIONS /api/v1/auth/signup HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:56:17] "POST /api/v1/auth/signup HTTP/1.1" 201 -
127.0.0.1 - - [26/Jun/2026 14:56:17] "OPTIONS /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:56:17] "OPTIONS /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:56:17] "GET /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:56:17] "GET /api/v1/procurement/po HTTP/1.1" 200 -
127.0.0.1 - - [26/Jun/2026 14:56:46] "OPTIONS /api/v1/procurement/po HTTP/1.1" 200 -
